Full Name,First Name,Last Name,Specialty,Parent Organization Name,City,State,Zip,Target,Priority,Territory Description,Product1 Sales 2025,Total Product1 Scripts 2025,Total Product2 Scripts 2025,Product1 Sales JAN 2025,Change in Product1 Scripts JAN 24-25,Change in Product1 Scripts 24 vs 25,Product1 Sales 2024,Total Product1 Scripts 2024,Total Product2 Scripts 2024,Product1 Sales JAN 2024,Product1 Sales 2024.1,Product1 Sales 2019,Total Product1 Scripts 2019,Total Product2 Scripts 2019,Full_Address,Latitude,Longitude
FirstName11 LastName11,FirstName11,LastName11,Specialty8,MERCY HEALTH DEFIANCE HOSPITAL,ASHEVILLE,NC,28305,,0,"RDU, NC",423,242,25,55,-4,-5,286,552,55,42,144,41,133,30,"1 SAINT DUNSTANS RD, ASHEVILLE, NC 28803",35.5736329,-82.5467855
FirstName12 LastName12,FirstName12,LastName12,Specialty6,,CULLOWHEE,NC,26018,,1,"RDU, NC",419,349,39,79,5,62,249,218,64,44,66,96,55,38,"1 UNIVERSITY DR, CULLOWHEE, NC 28723",35.309138,-83.18569699999999
FirstName13 LastName13,FirstName13,LastName13,Specialty2,WESTERN CAROLINA UNIVERSITY HEALTH SERVICES,CULLOWHEE,NC,26051,,0,"RDU, NC",236,107,0,28,-8,-66,230,61,41,34,210,58,487,17,"1 UNIVERSITY DR, CULLOWHEE, NC 28723",35.309138,-83.18569699999999
FirstName14 LastName14,FirstName14,LastName14,Specialty2,THE GREENS AT VIEWMONT,HICKORY,NC,25256,,2,"RDU, NC",106,163,0,40,2,-61,47,349,59,69,322,589,205,49,"10 3RD AVE NE, HICKORY, NC 28601",35.7351385,-81.3375813
FirstName15 LastName15,FirstName15,LastName15,Specialty9,DESANTIS FAMILY PRACTICE,HICKORY,NC,29678,,0,"RDU, NC",371,166,44,59,-9,69,637,642,22,8,301,279,132,21,"10 3RD AVE NE, HICKORY, NC 28601",35.7351385,-81.3375813
FirstName16 LastName16,FirstName16,LastName16,Specialty1,WAKE COUNTY PUBLIC HEALTH ID CLINIC,RALEIGH,NC,29165,,2,"RDU, NC",38,220,8,30,-1,50,124,583,48,60,44,435,46,33,"10 SUNNYBROOK RD, RALEIGH, NC 27610",35.7863889,-78.5866448
FirstName17 LastName17,FirstName17,LastName17,Specialty5,WAKE COUNTY PUBLIC HEALTH ID CLINIC,RALEIGH,NC,25084,,0,"RDU, NC",162,401,27,44,-7,42,320,395,14,31,319,437,266,31,"10 SUNNYBROOK RD, RALEIGH, NC 27610",35.7863889,-78.5866448
FirstName18 LastName18,FirstName18,LastName18,Specialty3,WAKE COUNTY PUBLIC HEALTH ID CLINIC,RALEIGH,NC,24953,,3,"RDU, NC",190,135,15,61,-11,39,653,87,36,24,102,225,361,13,"10 SUNNYBROOK RD, RALEIGH, NC 27610",35.7863889,-78.5866448
FirstName19 LastName19,FirstName19,LastName19,Specialty3,UNC LENOIR HEALTH CARE,KINSTON,NC,26404,,2,"RDU, NC",202,39,24,72,-1,-72,296,118,13,65,102,28,338,29,"100 AIRPORT RD, KINSTON, NC 28501",35.2903639,-77.5831755
FirstName20 LastName20,FirstName20,LastName20,Specialty3,"LENOIR MEMORIAL HOSPITAL, INC",KINSTON,NC,26278,,0,"RDU, NC",252,142,48,62,7,-50,635,367,89,10,285,191,409,27,"100 AIRPORT RD, KINSTON, NC 28501",35.2903639,-77.5831755
FirstName21 LastName21,FirstName21,LastName21,Specialty5,JOHNSTON HEALTH SERVICES CORP,CLAYTON,NC,24625,,3,"RDU, NC",195,328,52,58,-11,61,168,342,91,65,117,264,120,56,"100 CUNNINGHAM LN, CLAYTON, NC 27527",35.6892236,-78.4272659
FirstName22 LastName22,FirstName22,LastName22,Specialty4,"DUKE PRIVATE DIAGNOSTIC CLINIC, PLLC",CARY,NC,29185,,3,"RDU, NC",217,224,15,12,3,40,78,491,61,46,230,602,568,19,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName23 LastName23,FirstName23,LastName23,Specialty10,DUKE PRIMARY CARE GREEN LEVEL PEDIATRICS,CARY,NC,26848,,2,"RDU, NC",194,38,39,10,-13,29,428,123,88,33,65,2,479,20,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName24 LastName24,FirstName24,LastName24,Specialty8,"DUKE PRIVATE DIAGNOSTIC CLINIC, PLLC",CARY,NC,27909,,3,"RDU, NC",73,227,47,73,-8,62,562,443,88,27,166,384,334,47,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName25 LastName25,FirstName25,LastName25,Specialty4,DUKE PRIMARY CARE GREEN LEVEL FAMILY MEDICINE,CARY,NC,29222,,0,"RDU, NC",363,395,40,22,-13,51,643,446,75,69,31,207,160,25,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName26 LastName26,FirstName26,LastName26,Specialty2,"DUKE PRIVATE DIAGNOSTIC CLINIC, PLLC",CARY,NC,27134,,0,"RDU, NC",257,102,52,74,2,23,456,17,30,54,12,131,440,57,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName27 LastName27,FirstName27,LastName27,Specialty4,"DUKE PRIVATE DIAGNOSTIC CLINIC, PLLC",CARY,NC,25100,,2,"RDU, NC",279,44,5,56,-11,66,324,89,56,0,42,328,74,46,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName28 LastName28,FirstName28,LastName28,Specialty7,DUKE PRIMARY CARE WELLESLEY,CARY,NC,27723,Prospect,2,"RDU, NC",387,263,13,11,3,60,370,418,13,60,98,317,164,46,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName29 LastName29,FirstName29,LastName29,Specialty4,DUKE PRIMARY CARE GREEN LEVEL FAMILY MEDICINE,CARY,NC,26297,,3,"RDU, NC",274,358,42,51,-4,43,389,619,84,37,227,304,108,25,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName30 LastName30,FirstName30,LastName30,Specialty10,THOMAS JEFFERSON UNIVERSITY HOSPITAL,CARY,NC,26735,Target,3,"RDU, NC",301,197,40,11,7,-39,79,435,54,17,215,536,109,42,"100 DUKE HEALTH CARY PL, CARY, NC 27519",35.7819969,-78.8905925
FirstName31 LastName31,FirstName31,LastName31,Specialty1,REX HOLLY SPRINGS HOSPITAL,CHAPEL HILL,NC,29085,,3,"RDU, NC",410,140,45,18,-11,13,541,314,49,11,47,355,82,7,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName32 LastName32,FirstName32,LastName32,Specialty9,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,24863,,3,"RDU, NC",363,152,51,59,1,-60,429,382,64,22,135,49,598,37,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName33 LastName33,FirstName33,LastName33,Specialty6,UNC INFECTIOUS DISEASES AT EASTOWNE,CHAPEL HILL,NC,26252,,1,"RDU, NC",268,282,26,11,3,-52,603,401,68,26,339,39,259,46,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName34 LastName34,FirstName34,LastName34,Specialty5,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,28428,Target,1,"RDU, NC",273,38,38,7,7,-40,147,129,35,32,278,471,284,8,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName35 LastName35,FirstName35,LastName35,Specialty10,NORTH CAROLINA CHILDRENS HOSPITAL,CHAPEL HILL,NC,29269,,1,"RDU, NC",131,325,12,54,-13,-73,411,343,38,2,326,43,304,20,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName36 LastName36,FirstName36,LastName36,Specialty4,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,24909,,3,"RDU, NC",268,227,0,28,0,34,70,564,48,25,6,503,14,60,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName37 LastName37,FirstName37,LastName37,Specialty6,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,25069,Prospect,0,"RDU, NC",186,303,35,9,5,47,580,112,10,72,77,343,183,25,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName38 LastName38,FirstName38,LastName38,Specialty10,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,25001,,2,"RDU, NC",91,244,31,3,3,-64,61,134,33,31,222,139,324,41,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName39 LastName39,FirstName39,LastName39,Specialty2,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,29594,,1,"RDU, NC",39,280,21,57,-2,3,427,633,59,43,33,439,547,19,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName40 LastName40,FirstName40,LastName40,Specialty6,UNC ENDOCRINOLOGY AT EASTOWNE UNC HOSPITALS OUTPATIENT CENTER AT EASTOWNE,CHAPEL HILL,NC,29380,,0,"RDU, NC",399,217,45,51,7,72,101,540,92,50,16,553,144,10,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName41 LastName41,FirstName41,LastName41,Specialty8,UNC HOSPITAL OUTPATIENT CENTER AT EASTOWNE ALLERGY AND IMMUNOLOGY,CHAPEL HILL,NC,25831,,0,"RDU, NC",111,295,11,44,-13,-69,452,44,74,71,336,44,107,53,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName42 LastName42,FirstName42,LastName42,Specialty9,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,26061,Prospect,1,"RDU, NC",148,114,2,6,-5,7,233,140,87,58,324,448,45,0,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName43 LastName43,FirstName43,LastName43,Specialty8,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,28576,,3,"RDU, NC",406,390,32,31,-11,36,674,234,23,49,241,449,161,0,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName44 LastName44,FirstName44,LastName44,Specialty1,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,26377,Target,3,"RDU, NC",311,341,6,67,-9,33,369,540,16,67,309,296,409,43,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName45 LastName45,FirstName45,LastName45,Specialty9,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,24803,,2,"RDU, NC",40,222,40,42,0,-12,430,196,52,44,271,346,469,53,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName46 LastName46,FirstName46,LastName46,Specialty3,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,27242,,1,"RDU, NC",168,217,14,27,-4,41,286,635,33,29,39,11,259,58,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName47 LastName47,FirstName47,LastName47,Specialty8,"ATLANTIC INTEGRATED HEALTH, INC",CHAPEL HILL,NC,27671,,1,"RDU, NC",92,84,2,54,2,-10,633,210,87,24,166,633,258,37,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName48 LastName48,FirstName48,LastName48,Specialty6,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,29183,,3,"RDU, NC",194,28,14,79,3,73,346,445,100,8,53,161,388,16,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName49 LastName49,FirstName49,LastName49,Specialty5,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,28915,Prospect,0,"RDU, NC",302,53,18,32,6,14,435,447,34,57,264,444,97,50,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName50 LastName50,FirstName50,LastName50,Specialty7,UNC ENDOCRINOLOGY AT EASTOWNE UNC HOSPITALS OUTPATIENT CENTER AT EASTOWNE,CHAPEL HILL,NC,28098,,1,"RDU, NC",36,300,34,12,-3,10,645,180,99,27,64,433,400,49,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName51 LastName51,FirstName51,LastName51,Specialty6,UNC FACULTY PHYSICIANS CENTER AT EASTOWNE,CHAPEL HILL,NC,25524,,1,"RDU, NC",349,193,28,71,-6,-21,56,462,9,16,16,570,28,18,"100 EASTOWNE DR, CHAPEL HILL, NC 27514",35.9481985,-79.0067095
FirstName52 LastName52,FirstName52,LastName52,Specialty6,"CLAYTON MEDICAL ASSOCIATES, PA",CLAYTON,NC,29119,,2,"RDU, NC",294,410,22,58,-10,29,36,570,53,49,314,231,298,2,"100 GUY RD, CLAYTON, NC 27520",35.6413313,-78.4765118
FirstName53 LastName53,FirstName53,LastName53,Specialty3,"CLAYTON MEDICAL ASSOCIATES, PA",CLAYTON,NC,25789,,3,"RDU, NC",91,113,47,62,-9,-12,440,638,8,41,230,13,431,59,"100 GUY RD, CLAYTON, NC 27520",35.6413313,-78.4765118
FirstName54 LastName54,FirstName54,LastName54,Specialty3,WAKE FOREST UNIVERSITY SCHOOL OF MEDICINE,WINSTON SALEM,NC,29520,Prospect,3,"RDU, NC",51,418,0,12,3,78,359,381,42,63,81,293,481,38,"100 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0901721,-80.2714337
FirstName55 LastName55,FirstName55,LastName55,Specialty2,LANDMARK MD,BELMONT,NC,29405,,1,"RDU, NC",195,176,7,28,6,-52,422,242,61,1,210,534,31,34,"100 N MAIN ST, BELMONT, NC 28012",35.244116,-81.0373822
FirstName56 LastName56,FirstName56,LastName56,Specialty6,FIDELITY HEALTH AND WELLNESS CENTER,DURHAM,NC,28640,,1,"RDU, NC",247,365,33,48,-10,-70,270,635,93,4,132,524,486,23,"100 NEW MILLENNIUM WAY, DURHAM, NC 27703",35.8857992,-78.8590479
FirstName57 LastName57,FirstName57,LastName57,Specialty8,DUKE UNIVERSITY HOSPITAL,DURHAM,NC,26385,,2,"RDU, NC",294,324,32,45,4,32,310,202,0,56,163,248,364,19,"100 NEW MILLENNIUM WAY, DURHAM, NC 27703",35.8857992,-78.8590479
FirstName58 LastName58,FirstName58,LastName58,Specialty10,FIDELITY HEALTH AND WELLNESS CENTER,DURHAM,NC,26979,,1,"RDU, NC",333,63,4,34,-8,50,458,153,71,4,179,84,101,39,"100 NEW MILLENNIUM WAY, DURHAM, NC 27709",35.8857992,-78.8590479
FirstName59 LastName59,FirstName59,LastName59,Specialty2,"ALEXANDER N NEWMAN, MD, PA",CARY,NC,24758,,0,"RDU, NC",79,62,29,31,-4,-18,48,489,39,74,71,241,482,53,"100 PARKWAY OFFICE CT, CARY, NC 27518",35.7457121,-78.76767749999999
FirstName60 LastName60,FirstName60,LastName60,Specialty9,"ALEXANDER N NEWMAN, MD, PA",CARY,NC,27980,,1,"RDU, NC",247,85,2,74,-4,-4,555,30,88,14,338,437,73,32,"100 PARKWAY OFFICE CT, CARY, NC 27518",35.7457121,-78.76767749999999
FirstName61 LastName61,FirstName61,LastName61,Specialty3,"ALEXANDER N NEWMAN, MD, PA",CARY,NC,26922,,2,"RDU, NC",419,7,1,10,-12,-9,468,103,14,5,30,396,577,60,"100 PARKWAY OFFICE CT, CARY, NC 27518",35.7457121,-78.76767749999999
FirstName62 LastName62,FirstName62,LastName62,Specialty7,NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON SALEM,NC,29376,,0,"RDU, NC",39,210,13,61,-11,42,24,119,73,23,16,119,517,20,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName63 LastName63,FirstName63,LastName63,Specialty10,NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON SALEM,NC,27318,,2,"RDU, NC",12,101,7,45,-12,-63,158,358,0,72,224,284,233,41,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName64 LastName64,FirstName64,LastName64,Specialty4,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,26928,Prospect,2,"RDU, NC",124,224,29,28,-8,-39,214,47,93,68,150,325,571,20,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName65 LastName65,FirstName65,LastName65,Specialty9,,WINSTON SALEM,NC,27320,Prospect,3,"RDU, NC",236,406,2,34,3,-67,137,160,48,72,328,190,8,3,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName66 LastName66,FirstName66,LastName66,Specialty2,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,28209,,3,"RDU, NC",123,211,2,45,4,66,84,247,85,68,326,94,177,40,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName67 LastName67,FirstName67,LastName67,Specialty6,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,29029,,1,"RDU, NC",51,101,14,0,-13,48,509,91,64,53,37,206,598,36,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName68 LastName68,FirstName68,LastName68,Specialty4,NOVANT HEALTH RURAL HALL FAMILY MEDICINE,WINSTON SALEM,NC,25283,,3,"RDU, NC",204,7,24,37,-10,-62,42,487,68,66,291,560,441,42,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName69 LastName69,FirstName69,LastName69,Specialty2,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,28218,Target,0,"RDU, NC",409,297,25,46,6,6,365,63,94,34,132,587,215,47,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName70 LastName70,FirstName70,LastName70,Specialty3,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,25327,,2,"RDU, NC",231,294,8,41,3,-14,87,604,29,25,241,75,424,19,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName71 LastName71,FirstName71,LastName71,Specialty1,,WINSTON SALEM,NC,25358,Prospect,3,"RDU, NC",225,367,26,28,-10,-42,97,539,56,58,7,60,513,34,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName72 LastName72,FirstName72,LastName72,Specialty7,NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON SALEM,NC,28135,,3,"RDU, NC",106,388,51,67,-5,20,41,642,57,74,151,624,51,6,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName73 LastName73,FirstName73,LastName73,Specialty9,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,24558,,2,"RDU, NC",402,320,5,15,5,-75,499,83,87,65,277,484,65,8,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName74 LastName74,FirstName74,LastName74,Specialty1,NOVANT HEALTH MAPLEWOOD FAMILY MEDICINE,WINSTON SALEM,NC,25611,,2,"RDU, NC",393,317,22,67,-10,22,300,91,80,18,91,209,597,53,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName75 LastName75,FirstName75,LastName75,Specialty6,NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON SALEM,NC,26837,,1,"RDU, NC",373,43,42,31,0,51,540,119,39,0,88,274,242,22,"100 ROBINHOOD MEDICAL PLZ, WINSTON SALEM, NC 27106",36.11777379999999,-80.3197675
FirstName76 LastName76,FirstName76,LastName76,Specialty9,,CARY,NC,27820,,3,"RDU, NC",93,422,14,78,-3,-13,601,356,92,52,145,257,219,40,"100 SAS CAMPUS DR, CARY, NC 27513",35.8287706,-78.7670275
FirstName77 LastName77,FirstName77,LastName77,Specialty2,"SAS INSTITUTE, INC",CARY,NC,29005,,2,"RDU, NC",426,75,41,4,4,59,48,258,82,14,336,355,35,0,"100 SAS CAMPUS DR, CARY, NC 27513",35.8287706,-78.7670275
FirstName78 LastName78,FirstName78,LastName78,Specialty7,,CARY,NC,28616,,2,"RDU, NC",140,240,17,27,5,34,689,208,11,8,201,271,194,59,"100 SAS CAMPUS DR, CARY, NC 27513",35.8287706,-78.7670275
FirstName79 LastName79,FirstName79,LastName79,Specialty8,UNC HOSPITALS,CHAPEL HILL,NC,29556,,3,"RDU, NC",412,181,29,13,-9,-67,237,420,9,26,116,450,303,19,"100 VILLAGE CENTER DR, CHAPEL HILL, NC 27516",35.9698692,-79.0635908
FirstName80 LastName80,FirstName80,LastName80,Specialty8,UNC HOSPITALS,CHAPEL HILL,NC,28886,,2,"RDU, NC",52,131,6,44,6,-75,86,431,0,40,303,59,238,4,"100 VILLAGE CENTER DR, CHAPEL HILL, NC 27516",35.9698692,-79.0635908
FirstName81 LastName81,FirstName81,LastName81,Specialty8,,CHARLOTTE,NC,26327,,1,"RDU, NC",129,67,2,1,-13,-31,66,38,71,59,332,470,622,29,"1000 BLYTHE BLVD, CHARLOTTE, NC 28203",35.2036323,-80.83911959999999
FirstName82 LastName82,FirstName82,LastName82,Specialty6,ATRIUM HEALTH CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,28162,,0,"RDU, NC",362,376,2,38,7,25,361,323,30,27,42,525,309,48,"1000 BLYTHE BLVD, CHARLOTTE, NC 28203",35.2036323,-80.83911959999999
FirstName83 LastName83,FirstName83,LastName83,Specialty9,ATRIUM HEALTH CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,24982,,1,"RDU, NC",253,59,27,1,-1,-53,415,255,49,50,52,38,413,16,"1000 BLYTHE BLVD, CHARLOTTE, NC 28203",35.2036323,-80.83911959999999
FirstName84 LastName84,FirstName84,LastName84,Specialty10,ATRIUM HEALTH CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,27173,,2,"RDU, NC",406,346,31,30,-2,-48,227,10,57,43,99,382,420,28,"1000 BLYTHE BLVD, CHARLOTTE, NC 28203",35.2036323,-80.83911959999999
FirstName85 LastName85,FirstName85,LastName85,Specialty6,,CARY,NC,28440,,0,"RDU, NC",307,80,50,17,-4,-13,566,197,80,57,134,545,356,47,"1000 CRESCENT GREEN, CARY, NC 27518",35.733679,-78.7785827
FirstName86 LastName86,FirstName86,LastName86,Specialty7,VASCULAR SOLUTIONS OF NORTH CAROLINA,CARY,NC,26577,,2,"RDU, NC",255,121,35,45,6,-64,305,129,20,11,133,416,494,29,"1000 CRESCENT GREEN, CARY, NC 27518",35.733679,-78.7785827
FirstName87 LastName87,FirstName87,LastName87,Specialty6,AEGIS MEDICAL CENTER,CARY,NC,26221,,3,"RDU, NC",99,77,26,20,-6,12,277,400,79,42,265,236,216,34,"1000 CRESCENT GREEN, CARY, NC 27518",35.733679,-78.7785827
FirstName88 LastName88,FirstName88,LastName88,Specialty8,,MOORESVILLE,NC,25333,Prospect,1,"RDU, NC",273,324,47,57,-2,-29,445,503,20,14,129,124,634,10,"1000 LOWES BLVD, MOORESVILLE, NC 28117",35.5416341,-80.85469549999999
FirstName89 LastName89,FirstName89,LastName89,Specialty4,ADVENTHEALTH PEPIN HEART INSTITUTE,DURHAM,NC,29362,,3,"RDU, NC",23,404,33,66,-6,-75,169,553,98,40,194,516,497,37,"1000 PARK FORTY PLZ, DURHAM, NC 27713",35.905519,-78.8937699
